ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-03-31,2721715.0723925126,51321116.22984251,52724084.55043713,2721715.0723925126,2721715.0723925126,18.09910294447085,18.09910294447085,18.09910294447085,-0.25936200000085996,-0.25936200000085996,-0.25936200000085996,18.35846494447171,18.35846494447171,18.35846494447171,0.0,0.0,0.0,51982316.35314253
2022-06-30,2878243.214228628,59327846.5397386,60942621.143193066,2873966.297011452,2878580.7823205185,19.888548075482557,19.888548075482557,19.888548075482557,-0.25936199999438647,-0.25936199999438647,-0.25936199999438647,20.147910075476943,20.147910075476943,20.147910075476943,0.0,0.0,0.0,60122321.75334614
2022-09-30,3036491.4455354717,56756602.28441439,58551203.59877409,3017573.255482752,3055394.360216152,17.98495618829073,17.98495618829073,17.98495618829073,-0.3162747035054211,-0.3162747035054211,-0.3162747035054211,18.301230891796152,18.301230891796152,18.301230891796152,0.0,0.0,0.0,57647657.05961052
2022-12-31,3194739.6768423147,68907703.13910967,71385335.93180892,3152648.1531623313,3233573.493940776,20.962922827469843,20.962922827469843,20.962922827469843,0.23013980291220176,0.23013980291220176,0.23013980291220176,20.73278302455764,20.73278302455764,20.73278302455764,0.0,0.0,0.0,70165820.9763437
2023-03-31,3349547.7292077057,62446984.39708581,65339586.18508535,3277213.9997411696,3411815.262267849,18.085557036643618,18.085557036643618,18.085557036643618,-0.3162747035066703,-0.3162747035066703,-0.3162747035066703,18.401831740150286,18.401831740150286,18.401831740150286,0.0,0.0,0.0,63927984.232753776
2023-06-30,3506075.8710438213,72028048.27239461,76656692.15058105,3398127.669587676,3608189.999046358,20.21241896266333,20.21241896266333,20.21241896266333,-0.31627470350800824,-0.31627470350800824,-0.31627470350800824,20.52869366617134,20.52869366617134,20.52869366617134,0.0,0.0,0.0,74372350.29146631
2023-09-30,3664324.102350664,68910226.50560275,74478199.01718256,3524526.4700614912,3800705.80092703,18.549553905471722,18.549553905471722,18.549553905471722,0.2301398029151617,0.2301398029151617,0.2301398029151617,18.31941410255656,18.31941410255656,18.31941410255656,0.0,0.0,0.0,71635901.56602359
2023-12-31,3822572.3336575064,76903147.89927578,84526536.10852456,3642874.7026943425,4007449.1101900893,20.113218284348893,20.113218284348893,20.113218284348893,-0.9507193514900181,-0.9507193514900181,-0.9507193514900181,21.063937635838908,21.063937635838908,21.063937635838908,0.0,0.0,0.0,80706804.08822387
2024-03-31,3979100.475493622,68696491.67716037,77073289.67055589,3751851.627182563,4200998.702573996,17.319277370921963,17.319277370921963,17.319277370921963,-0.9507193514920033,-0.9507193514920033,-0.9507193514920033,18.269996722413964,18.269996722413964,18.269996722413964,0.0,0.0,0.0,72894245.29733513
2024-06-30,4135628.6173297395,74735858.9665648,85226123.60605566,3865145.2300623446,4415078.596764931,18.351116835601246,18.351116835601246,18.351116835601246,-0.9507193514910188,-0.9507193514910188,-0.9507193514910188,19.301836187092263,19.301836187092263,19.301836187092263,0.0,0.0,0.0,80029032.56260383
